section,question,source_url
Système institutionnel et politique,Combien y a-t-il de départements en France ?,
Système institutionnel et politique,Qui représente l'État dans un département ?,
Système institutionnel et politique,Qui dirige la commune ?,
Système institutionnel et politique,Est-ce que le président de la République a tous les pouvoirs ?,
Système institutionnel et politique,Qui est le préfet ?,
Système institutionnel et politique,Quel est le rôle du Parlement ?,
Système institutionnel et politique,Quel est le régime politique de la France aujourd'hui ?,
Système institutionnel et politique,Combien d'États font partie de l'Union européenne au 1er janvier 2025 ?,
Système institutionnel et politique,Quel État n'est pas membre de l'Union européenne ?,
Système institutionnel et politique,Quelle condition est nécessaire pour voter aux élections européennes ?,
Système institutionnel et politique,À quelle fréquence les élections européennes sont-elles organisées ?,
Système institutionnel et politique,Quel pays est un pays fondateur de l'Union européenne ?,
Système institutionnel et politique,Quelle est la monnaie utilisée en France ?,
Système institutionnel et politique,Qui élit les députés européens ?,
Système institutionnel et politique,Quand célèbre-t-on la journée de l'Europe ?,
Droits et devoirs,Comment s’appelle la Constitution actuelle de la France ?,
Droits et devoirs,Comment s'appelle le texte qui énonce les droits et devoirs des personnes résidant en France ?,
Droits et devoirs,"Concernant les droits individuels, quelle proposition est correcte ?",
Droits et devoirs,De quelle année date la Déclaration des droits de l’homme et du citoyen ?,
Droits et devoirs,Lequel de ces droits est un droit fondamental ?,
Droits et devoirs,"Parmi ces textes, lequel garantit les droits et libertés en France ?",
Droits et devoirs,Qu’est-ce que la liberté d’expression ?,
Droits et devoirs,Quel droit permet à une personne de se défendre devant la justice ?,
Droits et devoirs,Quel est le texte fondateur établissant en France les droits et les devoirs de chaque citoyen ?,
Droits et devoirs,Quel texte a été adopté pendant la Révolution française ?,
Droits et devoirs,Quelle liberté permet à une personne de ne pas avoir de religion ?,
Droits et devoirs,Une femme peut avorter :,
Droits et devoirs,Est-il toujours possible de divorcer ?,
Droits et devoirs,La peine de mort est :,
Droits et devoirs,"Concernant les limites aux libertés individuelles, quelle proposition est correcte ?",
Droits et devoirs,"En France, est-ce légal d'être marié à plusieurs personnes en même temps ?",
Droits et devoirs,Faut-il réduire ses déchets ?,
Droits et devoirs,Jeter une bouteille dans la rue est :,
Droits et devoirs,Pourquoi les libertés individuelles peuvent-elles être limitées ?,
Droits et devoirs,Que doit faire une personne en cas d’accident ?,
Droits et devoirs,Que permet la citoyenneté française ?,
Droits et devoirs,Que risque une personne qui ne respecte pas la loi ?,
Droits et devoirs,Quel est le rôle de la gendarmerie ?,
Droits et devoirs,Quel est le rôle de la police ?,
Droits et devoirs,Qu'est-ce qu'une infraction ?,
Droits et devoirs,Comment peut-on réduire ses déchets ?,
Droits et devoirs,Déposer une machine à laver cassée sur le trottoir est :,
Droits et devoirs,En quoi consiste la traite des êtres humains ?,
Droits et devoirs,Que doit faire une victime de violences ?,
Droits et devoirs,Quelle est l'infraction la plus grave ?,
Histoire géographie et culture,En quelle année a débuté la Révolution française ?,
Histoire géographie et culture,Qui était Napoléon Ier ?,
Histoire géographie et culture,Lequel de ces personnages historiques est français ?,
Histoire géographie et culture,Dans quelle République est-on aujourd'hui ?,
Histoire géographie et culture,Qu'est-ce que la Shoah ?,
Histoire géographie et culture,Quel pays ou région du monde a été colonisé par la France ?,
Histoire géographie et culture,"Qui a rendu l’école gratuite, laïque et obligatoire ?",
Histoire géographie et culture,Quand a eu lieu la Seconde Guerre mondiale ?,
Histoire géographie et culture,Quand a eu lieu la Première Guerre mondiale ?,
Histoire géographie et culture,En quelle année a été créée la Communauté Économique Européenne (CEE) ?,
Histoire géographie et culture,Le 11 novembre est un jour férié. À quoi correspond cette date ?,
Histoire géographie et culture,Qui a été le premier Président élu sous la Ve République ?,
Histoire géographie et culture,En quelle année l'esclavage a-t-il été aboli définitivement en France ?,
Histoire géographie et culture,Depuis quelle année l'école publique est-elle gratuite ?,
Histoire géographie et culture,Combien y a-t-il eu de républiques en France ?,
Histoire géographie et culture,Qui était le roi de France au moment de la Révolution française ?,
Histoire géographie et culture,Qui a fondé la Ve République ?,
Histoire géographie et culture,Que célèbre-t-on le 14 juillet ?,
Histoire géographie et culture,Quelle guerre a eu lieu entre 1914 et 1918 ?,
Histoire géographie et culture,Pourquoi l’année 1958 est importante pour la France ?,
Histoire géographie et culture,Quel fleuve coule en France ?,
Histoire géographie et culture,Quelle ville est française ?,
Histoire géographie et culture,Quel océan borde la côte ouest française ?,
Histoire géographie et culture,Qu'est-ce que Paris ?,
Histoire géographie et culture,Quelle est la capitale de la France ?,
Histoire géographie et culture,Sur quel continent se situe la France métropolitaine ?,
Histoire géographie et culture,Quelle île est un département d'outre-mer français ?,
Histoire géographie et culture,Combien y a-t-il de régions en France métropolitaine ?,
Histoire géographie et culture,Quelle ville est un grand port maritime ?,
Histoire géographie et culture,Quelle est la mer au sud de la France métropolitaine ?,
Histoire géographie et culture,Quelle ville est située au bord de la mer Méditerranée ?,
Histoire géographie et culture,Où se situe la Corse ?,
Histoire géographie et culture,Quelle chaîne de montagnes est située entre la France et l'Italie ?,
Histoire géographie et culture,Qui était Molière ?,
Histoire géographie et culture,Qui était Charles Baudelaire ?,
Histoire géographie et culture,Qui était George Sand ?,
Histoire géographie et culture,Qui était Simone de Beauvoir ?,
Histoire géographie et culture,Qui était Albert Camus ?,
Histoire géographie et culture,Qui était Paul Cézanne ?,
Histoire géographie et culture,Qui était Marc Chagall ?,
Histoire géographie et culture,Qui était Joséphine Baker ?,
Histoire géographie et culture,Qui était une chanteuse française célèbre ?,
Histoire géographie et culture,Qu'est-ce que le Louvre ?,
Histoire géographie et culture,Qui était Jean de la Fontaine ?,
Histoire géographie et culture,Quel écrivain est français ?,
Histoire géographie et culture,Dans quelle ville se trouve la tour Eiffel ?,
Histoire géographie et culture,Quand célèbre-t-on Noël ?,
Vivre dans la société française,Quel numéro d'urgence permet d'appeler le SAMU ?,
Vivre dans la société française,Quel numéro d'urgence permet d'appeler les pompiers ?,
Vivre dans la société française,"Après avoir obtenu le permis de conduire, que faut-il faire pour pouvoir conduire sa voiture ?",
Vivre dans la société française,À quelles conditions un mariage est-il reconnu juridiquement ?,
Vivre dans la société française,Quand faut-il déclarer son enfant au service d'état civil de la mairie ?,
Vivre dans la société française,Le travail non déclaré est :,
Vivre dans la société française,Que doit faire un employeur pour fixer un salaire ?,
Vivre dans la société française,Qu'est-ce que le SMIC ?,
Vivre dans la société française,Quelle est la première démarche à réaliser pour chercher un emploi ?,
Vivre dans la société française,Quelle est la durée légale du temps de travail par semaine ?,
Vivre dans la société française,Qui est aidé par France Travail ?,
Vivre dans la société française,Une personne étrangère en situation régulière peut créer son entreprise :,
Vivre dans la société française,Une femme peut-elle créer son entreprise ?,
Vivre dans la société française,À partir de quel âge un mineur peut-il travailler ?,
Vivre dans la société française,Auprès de quel organisme faut-il demander le remboursement des frais de santé ?,
Vivre dans la société française,Qu’est-ce qu’un numéro d’urgence ?,
Vivre dans la société française,"Concernant l'accès aux soins, quelle proposition est correcte ?",
Vivre dans la société française,"En cas de problème de santé non urgent, à qui faut-il s’adresser en premier ?",
Vivre dans la société française,Quel est le rôle du médecin traitant ?,
Vivre dans la société française,Dans quelles situations doit-on se rendre aux urgences de l'hôpital ?,
Vivre dans la société française,Quel est l’objectif des vaccinations obligatoires ?,
Vivre dans la société française,À quoi sert la carte Vitale ?,
Vivre dans la société française,À quoi sert une mutuelle santé ?,
Vivre dans la société française,Jusqu'à quel âge l'école est-elle obligatoire ?,
Vivre dans la société française,L'autorité parentale prévoit l'obligation :,
Vivre dans la société française,Pour qui l'école est-elle obligatoire ?,
Vivre dans la société française,Quel diplôme obtient-on à la fin du lycée ?,
Vivre dans la société française,Dans quels établissements scolaires vont les élèves après l'école élémentaire ?,
Vivre dans la société française,Pour qui l'école est elle obligatoire ?,
Vivre dans la société française,Un enfant inscrit à l'école :,
Vivre dans la société française,Les enfants qui ne parlent pas français :,
