section,question,source_url
Principes et valeurs de la République,Que dit l'article 1er de la Constitution française ?,
Système institutionnel et politique,Qu'est-ce que l'État de droit ?,
Système institutionnel et politique,Le président de la République a commis un crime. Quelle proposition est correcte ?,
Système institutionnel et politique,La loi est l'expression de :,
Système institutionnel et politique,Quelle est la durée du mandat du conseil municipal et du maire ?,
Système institutionnel et politique,Que garantit l’État de droit ?,
Système institutionnel et politique,Une personne peut-elle voter à la place d'une autre ?,
Système institutionnel et politique,Est-ce que le vote est obligatoire ?,
Système institutionnel et politique,"À la fin de son mandat, le président de la République peut-il décider de rester au pouvoir ?",
Système institutionnel et politique,Qui dirige l'action du Gouvernement ?,
Système institutionnel et politique,Qui nomme le Premier ministre ?,
Système institutionnel et politique,Quelle est l'organisation administrative de la France ?,
Système institutionnel et politique,Qu'est-ce que le pouvoir législatif ? Le pouvoir :,
Système institutionnel et politique,Pourquoi séparer les trois pouvoirs dans une démocratie ?,
Système institutionnel et politique,Qui sanctionne l'auteur d'un vol ?,
Système institutionnel et politique,Quel est le rôle du gouvernement ?,
Système institutionnel et politique,Que se passe-t-il si un ministre ne respecte pas la loi ?,
Système institutionnel et politique,Combien de députés composent l’Assemblée nationale ?,
Système institutionnel et politique,Qui peut voter aux élections en France ?,
Système institutionnel et politique,Pour combien de temps sont élus les sénateurs ?,
Système institutionnel et politique,La séparation des pouvoirs est un principe fondamental. Quels sont les trois pouvoirs concernés ?,
Système institutionnel et politique,Est-ce que le président de la République a tous les pouvoirs ?,
Système institutionnel et politique,Qui est le préfet ?,
Système institutionnel et politique,Quelle condition est nécessaire pour voter aux élections ?,
Système institutionnel et politique,Qui dirige la commune ?,
Système institutionnel et politique,Quel est le régime politique de la France aujourd'hui ?,
Système institutionnel et politique,Qu'est-ce que l'Hôtel de Matignon ?,
Système institutionnel et politique,Le Parlement est composé :,
Système institutionnel et politique,Quel est le rôle du président de la République ?,
Système institutionnel et politique,Quel est le rôle du Premier ministre ?,
Système institutionnel et politique,Qui est le chef du Gouvernement ?,
Système institutionnel et politique,Combien y a-t-il de régions en France ?,
Système institutionnel et politique,Quel est le rôle du Défenseur des droits ?,
Système institutionnel et politique,Depuis quand l'euro est-elle la monnaie unique ?,
Système institutionnel et politique,Quel est le rôle principal du département ?,
Système institutionnel et politique,Quel est le rôle principal des communes ?,
Système institutionnel et politique,Combien de communes environ existe-t-il en France ?,
Système institutionnel et politique,Quel traité concerne la construction de l'Union européenne ?,
Système institutionnel et politique,Quel État a quitté l'Union européenne en 2020 ?,
Système institutionnel et politique,Quelle est la devise de l’Union européenne ?,
Système institutionnel et politique,Quel est l'hymne de l'Union européenne ?,
Système institutionnel et politique,De quoi est composé le drapeau européen ?,
Système institutionnel et politique,De quelle couleur est le drapeau européen ?,
Système institutionnel et politique,"En quelle année le traité de Maastricht, qui marque la fondation de l'Union européenne, a-t-il été signé ?",
Système institutionnel et politique,Où est le siège du Parlement européen ?,
Système institutionnel et politique,Où est le siège de la Commission européenne ?,
Système institutionnel et politique,Quel État n'est pas membre de l'Union européenne ?,
Système institutionnel et politique,Quand célèbre-t-on la journée de l'Europe ?,
Système institutionnel et politique,À quelle fréquence les élections européennes sont-elles organisées ?,
Système institutionnel et politique,Quelle condition est nécessaire pour voter aux élections européennes ?,
Système institutionnel et politique,Quel pays est un pays fondateur de l'Union européenne ?,
Droits et devoirs,À quelle liberté la PMA fait-elle référence ?,
Droits et devoirs,Au nom de quoi l'État justifie-t-il la restriction des droits ?,
Droits et devoirs,"Concernant le droit de se marier, quelle proposition est correcte ?",
Droits et devoirs,Est-il toujours possible de divorcer ?,
Droits et devoirs,La peine de mort est :,
Droits et devoirs,Laquelle de ces citations est inscrite dans la Déclaration des Droits de l'homme et du Citoyen de 1789 ?,
Droits et devoirs,Le recours à l'avortement est-il autorisé ?,
Droits et devoirs,Que contient la Constitution ?,
Droits et devoirs,Que garantit la liberté de la presse ?,
Droits et devoirs,Que prévoit la Charte de l'environnement ?,
Droits et devoirs,Que signifie la dignité humaine ?,
Droits et devoirs,Que signifie le droit de manifester ?,
Droits et devoirs,Que signifie PMA ?,
Droits et devoirs,Quel texte est le plus difficile à modifier ?,
Droits et devoirs,Quelle liberté permet à une personne de croire en la religion de son choix ?,
Droits et devoirs,Qu'est-ce que le droit de grève ?,
Droits et devoirs,Qu'est-ce que la Constitution ?,
Droits et devoirs,Qui peut demander à avorter ?,
Droits et devoirs,Une femme majeure de nationalité française a-t-elle le droit de voter aux élections ?,
Droits et devoirs,"Concernant l'utilisation des réseaux sociaux, quelle proposition est correcte ?",
Droits et devoirs,Jeter un mégot par terre est :,
Droits et devoirs,L'État peut-il limiter les droits et libertés ?,
Droits et devoirs,"Parmi ces actions, laquelle permet d'adopter une attitude respectueuse de l’environnement ?",
Droits et devoirs,Quelle proposition constitue une obligation ?,
Droits et devoirs,Pour quel motif peut-on limiter la liberté d'expression ?,
Droits et devoirs,Pourquoi doit-on trier ses déchets ?,
Droits et devoirs,Que doit faire une victime de violences ?,
Droits et devoirs,Que doit-on faire face aux ordres des policiers ou gendarmes ?,
Droits et devoirs,Quel est le rôle de la police ?,
Droits et devoirs,Quel est un exemple d’assistance à personne en danger ?,
Droits et devoirs,Quel exemple illustre une limitation de liberté pour protéger l'intérêt général ?,
Droits et devoirs,Quelle est l’attitude à avoir lorsque qu'on est témoin de violences ?,
Droits et devoirs,Quelle est l'infraction la plus grave ?,
Droits et devoirs,Quelle obligation concerne toutes les personnes résidant en France quelle que soit leur nationalité ?,
Droits et devoirs,Quelle proposition représente un exemple de crime ?,
Droits et devoirs,Quelle proposition représente un exemple de délit ?,
Droits et devoirs,Qui veille au maintien de l’ordre public ?,
Droits et devoirs,"S'agissant des déchets, quelle proposition est correcte ?",
Histoire géographie et culture,Quel était le surnom de Louis XIV ?,
Histoire géographie et culture,Quel roi de France a été exécuté pendant la Révolution française ?,
Histoire géographie et culture,En quelle année Napoléon Ier est-il devenu empereur ?,
Histoire géographie et culture,Lequel de ces personnages a un lien avec la République française ?,
Histoire géographie et culture,De quand date l'appel à la résistance du général de Gaulle ?,
Histoire géographie et culture,Pourquoi la Shoah est-elle étudiée à l'école ?,
Histoire géographie et culture,Quel pays a été colonisé par la France ?,
Histoire géographie et culture,Depuis quand les Français élisent-ils le président de la République au suffrage universel direct ?,
Histoire géographie et culture,Quelle est la première étape de la construction européenne en 1951 ?,
Histoire géographie et culture,Durant le mandat de quel président la peine de mort a-t-elle été abolie ?,
Histoire géographie et culture,Quel régime politique a été mis en place pendant la Révolution française en 1792 ?,
Histoire géographie et culture,Qui était une figure de la Résistance française pendant la Seconde Guerre mondiale ?,
Histoire géographie et culture,"En 1944, qu'est-ce qui a changé pour les femmes ?",
Histoire géographie et culture,Quelle organisation internationale a été créée en 1945 après la Seconde Guerre mondiale ?,
Histoire géographie et culture,Quelle peine a été supprimée en 1981 ?,
Histoire géographie et culture,En quelle année l'euro est-elle devenue la monnaie utilisée en France ?,
Histoire géographie et culture,En quelle année a commencé la Première Guerre mondiale ?,
Histoire géographie et culture,Où a eu lieu le débarquement en 1944 ?,
Histoire géographie et culture,Quel continent a été le plus concerné par la décolonisation française après la Seconde Guerre mondiale ?,
Histoire géographie et culture,Que fête-t-on le 8 mai ?,
Histoire géographie et culture,Quelle mer ou océan borde la France métropolitaine ?,
Histoire géographie et culture,Quel pays a une frontière terrestre avec la France métropolitaine ?,
Histoire géographie et culture,Quelle ville française est un port maritime ?,
Histoire géographie et culture,Quelle mer se situe entre la France et l'Angleterre ?,
Histoire géographie et culture,Qu'est ce que la France d'outre-mer ?,
Histoire géographie et culture,Quelle chaîne de montagnes est située entre la France et l’Espagne ?,
Histoire géographie et culture,Quelle île française se trouve dans l'océan Indien ?,
Histoire géographie et culture,Quelle est la population approximative de la France en 2025 ?,
Histoire géographie et culture,Quel fleuve traverse Paris ?,
Histoire géographie et culture,Lequel de ces pays partage des frontières terrestres avec la France ?,
Histoire géographie et culture,Quel pays a une frontière avec la France métropolitaine au nord-est ?,
Histoire géographie et culture,Où se trouvent les principales activités économiques en France ?,
Histoire géographie et culture,"Parmi ces pays, lequel attire le plus de visiteurs chaque année ?",
Histoire géographie et culture,Où habite la majorité des Français ?,
Histoire géographie et culture,Quelle région est la plus peuplée ?,
Histoire géographie et culture,Quelle ville française fait partie des 10 plus grandes métropoles du pays ?,
Histoire géographie et culture,Lequel de ces départements de France est le plus touristique ?,
Histoire géographie et culture,Quand peut-on visiter gratuitement des lieux culturels en France ?,
Histoire géographie et culture,Combien de personnes parlent français dans le monde ?,
Histoire géographie et culture,Qui était Marguerite Yourcenar ?,
Histoire géographie et culture,Quel peintre est français ?,
Histoire géographie et culture,Quel musée est situé à Paris ?,
Histoire géographie et culture,Qui était Auguste Rodin ?,
Histoire géographie et culture,Quel est le classement de la langue française parmi les langues les plus parlées dans le monde ?,
Histoire géographie et culture,Quelle cathédrale célèbre a été en partie détruite par un incendie en 2019 ?,
Histoire géographie et culture,Qui était une écrivaine française célèbre ?,
Histoire géographie et culture,Qui était un célèbre musicien français ?,
Histoire géographie et culture,Qui était Auguste Renoir ?,
Histoire géographie et culture,Quelle fête est française ?,
Vivre dans la société française,Quel mariage est reconnu par l'État ?,
Vivre dans la société française,Auprès de quelle institution les parents peuvent-ils inscrire leur enfant à l'école publique ?,
Vivre dans la société française,"En cas de divorce, qui exerce l'autorité parentale ?",
Vivre dans la société française,Quelle aide permet aux personnes qui ont des difficultés financières d'avoir un avocat ?,
Vivre dans la société française,Où faut-il déclarer la naissance d'un enfant ?,
Vivre dans la société française,Quelle est l'une des conditions pour passer l'examen du permis de conduire ?,
Vivre dans la société française,Un bail locatif est valide s'il est :,
Vivre dans la société française,Où peut-on déposer un lave-vaisselle cassé ?,
Vivre dans la société française,Quel numéro d'urgence permet d'appeler la police ?,
Vivre dans la société française,"Concernant l'accès aux soins, quelle proposition est correcte ?",
Vivre dans la société française,À qui est accessible la contraception ?,
Vivre dans la société française,Qu’est-ce que le principe de confidentialité dans le domaine de la santé ?,
Vivre dans la société française,L'inscription à l'Assurance maladie est :,
Vivre dans la société française,Qui peut demander un congé parental d'éducation ?,
Vivre dans la société française,Quelles sont les affaires traitées par le conseil de prud'hommes ?,
Vivre dans la société française,Travailler sans être déclaré est :,
Vivre dans la société française,Lorsqu'un employeur veut qu'un salarié travaille plus longtemps que la durée prévue dans le contrat de travail :,
Vivre dans la société française,Quelle est la mission de France Travail ?,
Vivre dans la société française,"Dans une entreprise, le droit syndical permet :",
Vivre dans la société française,"Dans une entreprise, le droit de grève autorise :",
Vivre dans la société française,Quelles sont les conditions pour toucher les allocations chômage ?,
Vivre dans la société française,Qu'est-ce que l'école maternelle ?,
Vivre dans la société française,Comment s'appelle le diplôme passé par les élèves à la fin du collège ?,
Vivre dans la société française,Les parents d'élève ont le droit de :,
Vivre dans la société française,Qui peut manger à la cantine scolaire ?,
Vivre dans la société française,À quel âge commence l'instruction obligatoire des enfants ?,
Vivre dans la société française,Quel est l'âge de la majorité ?,
Vivre dans la société française,"À l'école, il est interdit aux parents de :",
Vivre dans la société française,Quel motif d'absence est accepté par l'école ?,
Vivre dans la société française,Des parents ne respectent pas l'obligation d'instruction pour leurs enfants. Quelle sanction maximale risquent-ils ?,
Vivre dans la société française,Quand ont lieu les vacances scolaires de Noël ?,
Vivre dans la société française,"À l'école, un enfant en situation de handicap :",
